stn_num,name,Lat,Lon
8025,CARNAMAH,-29.6886,115.8872
6011,CARNARVON AIRPORT,-24.8878,113.67
6062,CARNARVON POST OFFICE,-24.885,113.6569
13015,CARNEGIE,-25.7964,122.9753
10590,CAROLING SOUTH,-32.15,117.4
8026,CARON,-29.5833,116.3167
10727,CARRACERUP,-34.1,118.7
2061,CARRANYA,-19.3322,127.6367
2066,CARRANYA 2,-19.1764,127.6497
6012,CARRARANG,-26.4628,113.505
10883,CARROLUP RIVER,-33.65,117.2667
1016,CARSON RIVER STATION,-14.4861,126.7664
9785,CARUNUP,-33.7,115.1667
12260,CASCADES CREEK STATION,-33.5222,121.0786
7142,CASHMANS,-25.9697,118.6233
12022,CASHMERE DOWNS,-28.97,119.5686
9820,CASTLE TOWN,-33.8333,121.9333
9517,CASTLEDENE,-33.7175,115.85
10024,CASUARINA VALE,-31.1631,116.8575
8239,CASUERINA,-28.35,115.5833
9078,CATABY,-30.7,115.6
12286,CATABY CASCADES,-33.2722,121.0867
9169,CERVANTES,-30.5006,115.0664
7197,CHALLA,-28.2814,118.3106
12270,CHALORA,-33.2617,121.3767
10530,CHAMINGUP,-33.9144,117.0994
8030,CHAPMAN EAST,-28.6,114.8
9803,CHAPMAN HILL,-33.7831,115.3447
109509,CHAPMAN HILL ROAD CB2,-33.7371,115.3545
9911,CHARLIES CREEK,-33.5947,115.9581
3063,CHARNLEY RIVER,-16.7161,125.4603
5095,CHEELA PLAINS,-22.9367,116.9731
9006,CHELSEA,-30.6256,115.7803
10728,CHERALILLUP,-33.5,117.9833
3048,CHERRABUN,-18.9159,125.5264
3046,CHERRABUN,-18.4833,125.3333
10531,CHERRY TREE,-33.7069,117.2411
10873,CHERYTON,-33.9678,117.1514
10878,CHESALON,-33.5381,119.6564
9852,CHEYNE BEACH,-34.8883,118.3958
9007,CHIDLOW,-31.8622,116.2658
10918,CHILLICUP,-33.9167,117.6125
10729,CHILLINUP,-34.3439,118.6306
10296,CHINGAH,-31.6833,118.3833
109502,CHINGEBUP,-34.2319,117.4839
5038,CHINGINARRA,-21.3667,115.85
10177,CHINKYMIA,-30.5,117.4
10551,CHINOCUP,-33.5833,118.3
10532,CHIRELILLUP,-33.9653,118.0675
9008,CHITTERING,-31.4833,116.0833
9221,CHITTERING HEIGHTS,-31.4367,116.0642
9900,CHORKERUP,-34.8364,117.6914
9876,CHOWERUP,-34.1311,116.7394
3043,CHRISTMAS CREEK HOMESTEAD,-18.8772,125.9207
200790,CHRISTMAS ISLAND AERO,-10.4528,105.6875
200837,CHRISTMAS ISLAND RADIO,-10.4336,105.6844
9010,CHURCHMAN BROOK,-32.1483,116.0761
10730,CHYBARLIS,-32.6,116.9
12265,CIRCLE VALLEY,-33.0603,121.7983
12017,CIRCLE VALLEY EAST,-33.05,121.8
12016,CIRCLE VALLEY POST OFFICE,-33.0833,121.75
9191,CITY BEACH,-31.9286,115.7653
10262,CLACKLINE,-31.7183,116.5161
10178,CLAFFERTY SOAK,-30.4,117.7
8031,CLARE HILL,-28.4,114.8
9079,CLAREMONT,-31.9833,115.8
12131,CLAVERLEY,-33.2,121.7
10731,CLEAR HILLS,-33.9,117.9
10028,CLEARY,-30.4333,117.65
10029,CLEARY SOUTH,-30.5311,117.6675
9071,CLONTARF BOYS TOWN,-32.0167,115.8667
8033,CLONTARF FARM,-28.7031,115.8172
9242,CLOON,-32.3956,115.9744
10651,CLOUGHTON,-32.2925,116.6708
10179,CLOVELLY,-31.1,117.75
10800,CLOVELLY,-33.3225,117.2078
9910,CLOVERLOCK,-33.8325,115.3147
8232,CLYDE PARK,-30.3317,116.7133
12155,COBBANCO,-29.2667,120.6
10180,COBHAM,-31.8,116.7
7209,COBRA AIRSTRIP,-24.1994,116.4814
7111,COBRA STATION,-24.2008,116.475
6013,COBURN STATION,-26.6972,114.3181
10533,COCANARUP,-33.6369,119.8853
3025,COCKATOO ISLAND,-16.0992,123.6161
11036,COCKLEBIDDY,-32.0403,126.0964
9011,COCKLESHELL GULLY,-30.1478,115.0992
200284,COCOS ISLAND AIRPORT,-12.1892,96.8344
200841,COCOS QUARANTINE STATION,-12.1744,96.8181
10149,CODG CODGEN,-31.3361,117.8164
7123,COGLA DOWNS,-27.4375,118.9292
7013,COGLA DOWNS NATTE,-27.25,118.3333
8193,COLDSTREAM,-28.4,115.3
10732,COLLANILLING,-33.2,117.6
10181,COLLGAR,-31.6083,118.3833
9628,COLLIE,-33.36,116.1467
9807,COLLIE BOYS TOWN,-33.35,116.15
9994,COLLIE EAST,-33.3608,116.1717
10534,COLORADO,-32.4825,117.5647
10646,COLUNIO,-32.9,117.6
12132,COMET VALE,-29.9,121.1
9690,CONDINUP,-33.7619,116.5214
4053,CONDON,-20,119.4
10725,CONGEE,-33.4458,117.6614
10768,CONNELL,-33.9833,118.8
12200,CONSTANCE UNA,-31.7833,119.6
8034,COOARRA,-30.3,116.8
7014,COODARDY,-27.2528,117.6522
7015,COODARDY YENTON,-27.3,117.25
10294,COODERNUPPIN,-31.5736,117.5097
7016,COODINGNOW,-29.3667,117.7
9640,COOEEARUP,-33.95,116.05
6014,COOKERABINGIE,-23.5,114.1
9773,COOKERNUP,-32.9967,115.9008
9941,COOLANGATA SOUTH,-33.8094,116.3831
8240,COOLANGATTA,-28.91,115.5117
8035,COOLANGATTA (1),-28.9,115.5
8307,COOLANGATTA ALERT,-28.8916,115.4429
5001,COOLAWANYAH,-21.8047,117.8056
10288,COOLBEENIE FARM,-31.7839,116.395
6100,COOLCALALAYA,-27.525,115.0569
6063,COOLCALALYA,-27.5167,115.05
12018,COOLGARDIE,-30.9586,121.1739
9655,COOLINUP,-33.7867,122.1683
9730,COOMALBIDGUP,-33.6961,121.3656
8036,COOMBERDALE,-30.4644,116.0372
8194,COOMBERDALE 1,-30.5,116.1
9796,COOMELMIA,-33.3856,121.3722
10877,COOMPERTUP,-33.7139,119.5403
12253,COONANA,-31,123
12019,COONANA,-31.0225,123.1617
7098,COONATHAGO O.S.,-28.8,117.6
9251,COONAWARRA DOWNS,-30.1283,115.5011
10556,COONDEE,-32.4814,116.8097
4070,COONGAN HOTEL,-20.9,119.7
4009,COONGAN STATION,-20.6833,119.6667
4029,COORAGOORA,-19.9604,120.2744
6015,COORALYA,-24.4453,114.0779
6088,COORALYA O.S.,-24.4333,114.2667
10798,COORANDERK,-32.4,117.1
9259,COORANG,-31.0811,115.8569
5041,COORARA STATION,-22.6,116.1
10246,COORINGA,-31.6,116.4697
8037,COOROW,-29.8814,116.0229
4010,COOYA POOYA,-21.0333,117.1333
9691,COOYAH,-34,115.6
12295,COPPIN ROCK,-31.1003,118.6019
9979,CORAMUP,-33.7622,121.9336
6016,CORDALIA,-23.3,114.7
9855,CORDERING,-33.5167,116.6
9524,CORDINUP,-34.67,118.5317
12133,CORINTHIA FARM,-31.2,119.3
10841,CORNADO,-32.3833,118.4333
9080,CORNERS BROOK,-32.2,116.1
9535,CORONET HILL,-33.8267,122.4922
10536,CORRIGIN,-32.3292,117.8733
4011,CORUNNA DOWNS,-21.4667,119.8333
4081,CORUNNA DOWNS AIRSTRIP,-21.4333,119.7833
12209,COSMO NEWBERY,-27.9833,122.9167
4054,COSSACK,-20.6783,117.1892
9189,COTTESLOE BEACH,-31.9833,115.75
3001,COUNTRY DOWNS,-17.2767,122.5711
9658,COURTENEY,-34.1833,115.2
8281,COURTLEA,-30.3322,116.6828
9013,COWALLA,-31.05,115.5667
9636,COWARAMUP,-33.8358,115.0747
12220,COWARNA DOWNS,-31.0089,122.3567
10032,COWCOWING,-30.9964,117.3953
10033,COWCOWING CENTRAL,-30.9,117.4667
10153,CRAEMOR,-31.1028,118.0167
9791,CRAIGIAN,-34.5,116.1833
9184,CRAIGIE,-31.775,115.77
10607,CRAIGIE-LEA,-32.7608,118.1925
10281,CRAIGLANDS,-31.7667,116.3
10537,CRANBROOK,-34.2958,117.5533
10866,CRANHAM,-33.9317,117.3258
12259,CREDO,-30.4653,120.8283
9916,CRENDON,-33.6422,115.8119
10285,CROMLECH FARM,-30.9,117.9822
10664,CROOKED POOL,-32.9008,117.3986
10681,CROVIE,-32.6,117.2
4055,CROYDON,-21.1,117.8
10538,CUBALLING,-32.82,117.1775
7017,CUE,-27.425,117.8936
9769,CULFORD,-32.5708,116.4354
10131,CULHAM,-31.4,116.4667
9525,CULICUP ESTATE,-33.8742,116.6544
7018,CULLCULLI,-27.0392,118.365
12102,CUNDEELEE,-30.7233,123.425
9693,CUNDENUP,-33.8,115.8
10035,CUNDERDIN,-31.6494,117.2331
10286,CUNDERDIN AIRFIELD,-31.6219,117.2217
13038,CUNYU,-25.7069,120.3478
13014,CUNYU SHEARING SHED,-25.8181,120.1706
9694,CUNYULGUP,-33.75,115
3081,CURTIN,-17.5778,123.8222
3080,CURTIN AERO,-17.5768,123.8297
10037,CUTTENING,-31.7264,117.7644
